delivery_id,delivery_partner,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_cost,sla_expected_hours,delivery_rating,effective_speed_kmph,weather_factor,base_travel_time_hours,actual_delivery_time_hours,delay_hours,sla_breach_flag,cost_per_km,weight_cost_ratio,delay_bucket,sla_breach,cost_leakage_flag,
DEL2,delhivery,bike,same day,west,clear,297,46.96,1632.7206,6,3,35,1,8.49,11.27,5.27,1,5.5,34.77,SLA Breach,Breach,0,8.4496008
DEL3,xpressbees,ev van,express,central,cold,89.6,47.39,640.17,9,5,40,0.8,2.8,3.2,0,0,7.14,13.51,On Time,On Time,0,
DEL4,shadowfax,truck,two day,east,rainy,273.5,26.89,1448.17,18,4,38,0.75,9.6,13.2,0,0,5.29,53.86,On Time,On Time,0,
DEL5,dhl,ev van,same day,east,cold,269.7,12.69,1486.57,6,3,40,0.8,8.43,10.5,4.5,1,5.51,117.14,SLA Breach,Breach,0,
DEL6,dhl,van,two day,north,foggy,256.7,37.02,1394.56,18,4,45,0.65,8.78,13.71,0,0,5.43,37.67,On Time,On Time,0,
DEL7,amazon logistics,ev bike,express,west,rainy,48.4,33.15,391.45,8,3,30,0.75,2.15,4.41,0,0,8.09,11.81,On Time,On Time,0,
DEL8,delhivery,scooter,same day,central,clear,198.3,43.79,1222.87,6,3,40,1,4.96,7.74,1.74,1,6.17,27.93,SLA Risk,Breach,0,
DEL9,xpressbees,van,same day,north,cold,114.6,42.63,800.89,5,3,45,0.8,3.18,3.23,0,0,6.99,18.79,On Time,On Time,0,
DEL10,blue dart,van,same day,south,hot,142.4,14.06,854.18,5,5,45,0.8,3.96,3.99,0,0,6,60.75,On Time,On Time,0,
DEL11,delhivery,truck,same day,east,foggy,47.1,29.28,423.34,4,5,38,0.65,1.91,4.05,0.05,1,8.99,14.46,Operational Variance,Breach,1,
DEL12,fedex,scooter,same day,east,cold,293.2,22.05,1632.15,6,4,40,0.8,9.16,11.32,5.32,1,5.57,74.02,SLA Breach,Breach,0,
DEL13,ecom express,truck,two day,east,cold,80.4,46.48,541.44,17,5,38,0.8,2.64,2.65,0,0,6.73,11.65,On Time,On Time,0,
DEL14,xpressbees,ev van,two day,north,rainy,257.7,20.56,1350.18,18,4,40,0.75,8.59,12.18,0,0,5.24,65.67,On Time,On Time,0,
DEL15,xpressbees,bike,express,east,stormy,19,3.36,155.08,8,1,35,0.8,0.68,1.24,0,0,8.16,46.15,On Time,On Time,0,
DEL16,xpressbees,ev bike,two day,east,stormy,237.9,24.59,1263.27,18,3,30,0.8,9.91,12.55,0,0,5.31,51.37,On Time,On Time,0,
DEL17,amazon logistics,ev van,express,north,hot,239.3,11.67,1281.51,10,3,40,0.8,7.48,10.21,0.21,1,5.36,109.81,Operational Variance,Breach,0,
DEL18,fedex,bike,standard,west,stormy,79,0.73,397.19,17,5,35,0.8,2.82,3.02,0,0,5.03,544.1,On Time,On Time,0,
DEL19,blue dart,ev bike,standard,central,rainy,170.7,45.62,990.36,18,5,30,0.75,7.59,11.09,0,0,5.8,21.71,On Time,On Time,0,
DEL20,amazon logistics,van,same day,north,rainy,90,33.7,651.1,5,3,45,0.75,2.67,4.26,0,0,7.23,19.32,On Time,On Time,0,
DEL21,fedex,truck,express,north,rainy,64,6.03,388.09,9,2,38,0.75,2.25,4.13,0,0,6.06,64.36,On Time,On Time,0,
DEL22,fedex,scooter,two day,east,foggy,185.9,19.1,986.8,18,4,40,0.65,7.15,11.16,0,0,5.31,51.66,On Time,On Time,0,
DEL23,dhl,scooter,two day,west,stormy,217.9,14.08,1131.74,18,4,40,0.8,6.81,9.07,0,0,5.19,80.38,On Time,On Time,0,
DEL24,blue dart,scooter,same day,north,cold,214.1,40.85,1293.05,6,5,40,0.8,6.69,8.7,2.7,1,6.04,31.65,SLA Risk,Breach,0,
DEL25,ecom express,bike,standard,central,clear,251.7,34.9,1363.2,18,4,35,1,7.19,9.43,0,0,5.42,39.06,On Time,On Time,0,
DEL26,amazon logistics,van,standard,east,foggy,214.9,5.67,1091.51,18,5,45,0.65,7.35,11.65,0,0,5.08,192.51,On Time,On Time,0,
DEL27,shadowfax,ev van,two day,north,stormy,115.4,0.67,578.59,17,4,40,0.8,3.61,4.55,0,0,5.01,863.57,On Time,On Time,0,
DEL28,dhl,ev bike,express,east,foggy,293.8,41.03,1632.7206,10,3,30,0.65,15.07,19.8,9.8,1,5.56,39.79,SLA Breach,Breach,0,
DEL29,amazon logistics,scooter,standard,east,clear,286.8,46.67,1574.01,18,3,40,1,7.17,9.86,0,0,5.49,33.73,On Time,On Time,0,
DEL30,fedex,truck,express,south,hot,136.1,48.1,874.8,9,5,38,0.8,4.48,4.63,0,0,6.43,18.19,On Time,On Time,0,
DEL31,dhl,bike,two day,east,rainy,291.4,6.12,1475.36,18,5,35,0.75,11.1,14.82,0,0,5.06,241.07,On Time,On Time,0,
DEL32,fedex,bike,standard,south,hot,295,19.68,1534.04,18,5,35,0.8,10.54,13.45,0,0,5.2,77.95,On Time,On Time,0,
DEL33,ekart,truck,same day,central,rainy,223.3,6.29,1235.37,6,1,38,0.75,7.84,11.48,5.48,1,5.53,196.4,SLA Breach,Breach,0,
DEL34,delhivery,scooter,express,south,hot,242.5,46.73,1402.69,10,1,40,0.8,7.58,9.99,0,0,5.78,30.02,On Time,On Time,0,
DEL35,fedex,ev bike,two day,central,rainy,35.1,22.72,243.66,16,5,30,0.75,1.56,3.48,0,0,6.94,10.72,On Time,On Time,0,
DEL36,amazon logistics,bike,express,central,stormy,81.8,45.51,595.53,9,2,35,0.8,2.92,3.58,0,0,7.28,13.09,On Time,On Time,0,
DEL37,delhivery,bike,same day,east,clear,37.6,22.81,356.43,4,4,35,1,1.07,2.04,0,0,9.48,15.63,On Time,On Time,1,
DEL38,amazon logistics,ev bike,express,north,rainy,46.8,4.72,298.16,8,2,30,0.75,2.08,4.02,0,0,6.37,63.17,On Time,On Time,0,
DEL39,amazon logistics,scooter,same day,central,hot,233.4,18,1321,6,5,40,0.8,7.29,10.03,4.03,1,5.66,73.39,SLA Breach,Breach,0,
DEL40,ekart,bike,standard,east,rainy,62.2,48.58,456.74,17,3,35,0.75,2.37,3.99,0,0,7.34,9.4,On Time,On Time,0,
DEL41,shadowfax,ev bike,standard,south,foggy,114,43.85,701.55,17,4,30,0.65,5.85,8.82,0,0,6.15,16,On Time,On Time,0,
DEL42,blue dart,ev bike,same day,north,foggy,131.5,25.79,834.87,5,5,30,0.65,6.74,9.45,4.45,1,6.35,32.37,SLA Breach,Breach,0,
DEL43,xpressbees,ev van,express,south,rainy,21.4,16.58,206.74,8,3,40,0.75,0.71,3.11,0,0,9.66,12.47,On Time,On Time,1,
DEL44,xpressbees,truck,standard,west,stormy,258.5,8.37,1317.61,18,5,38,0.8,8.5,11.05,0,0,5.1,157.42,On Time,On Time,0,
DEL45,dhl,van,two day,east,rainy,253.9,7.07,1290.71,18,3,45,0.75,7.52,11.56,0,0,5.08,182.56,On Time,On Time,0,
DEL46,delhivery,ev bike,same day,north,stormy,6.7,7.96,157.38,4,4,30,0.8,0.28,1.02,0,0,23.49,19.77,On Time,On Time,1,
DEL47,ecom express,ev bike,standard,west,hot,178.1,26.7,970.6,18,4,30,0.8,7.42,9.63,0,0,5.45,36.35,On Time,On Time,0,
DEL48,fedex,truck,standard,south,hot,180,35.04,1005.12,18,3,38,0.8,5.92,8.47,0,0,5.58,28.68,On Time,On Time,0,
DEL49,ecom express,scooter,two day,north,rainy,187.9,14.96,984.38,18,4,40,0.75,6.26,10.76,0,0,5.24,65.8,On Time,On Time,0,
DEL50,xpressbees,ev van,express,west,hot,78.3,49.22,589.16,9,1,40,0.8,2.45,2.67,0,0,7.52,11.97,On Time,On Time,0,
DEL51,amazon logistics,ev bike,express,west,hot,51.6,23.45,378.35,9,4,30,0.8,2.15,2.85,0,0,7.33,16.13,On Time,On Time,0,
DEL52,xpressbees,ev van,same day,central,stormy,26.9,29.86,324.08,4,5,40,0.8,0.84,0.92,0,0,12.05,10.85,On Time,On Time,1,
DEL53,blue dart,truck,express,north,hot,216.7,26.89,1214.17,10,2,38,0.8,7.13,9.24,0,0,5.6,45.15,On Time,On Time,0,
DEL54,dhl,van,standard,south,foggy,148.2,38.6,856.8,17,4,45,0.65,5.07,7.37,0,0,5.78,22.2,On Time,On Time,0,
DEL55,fedex,ev van,same day,south,clear,184.2,46.79,1161.37,6,4,40,1,4.61,6.98,0.98,1,6.3,24.82,Operational Variance,Breach,0,
